Season,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
2022,"Charlie Blackmon","COL",0.303921568,1.279720279,0.227488151,0.433649289,0.338862559,0.104895104,0.111888111,15,0.081967213,1,0.166666666,0.40654206,0.36915888,0.22429907,0.15186916,0.56074766,0.28738318,"Charlie Blackmon",7859,453568
2008,"Nate McLouth","PIT",0.287190082,0.735294117,0.185404339,0.345167652,0.469428007,0.12605042,0.109243697,13,0.074285714,2,0.25,0.46213592,0.33592233,0.20194175,0.18058252,0.53203883,0.28737864,"Nate McLouth",3190,434661
2014,"Daniel Murphy","NYM",0.322134387,1.443708609,0.282101167,0.424124513,0.293774319,0.112582781,0.059602649,10,0.045871559,1,1,0.33786408,0.33398058,0.32815534,0.16893204,0.54368932,0.28737864,"Daniel Murphy",4316,502517
2014,"Chris Valaika","CHC",0.297619047,1.76,0.206896551,0.505747126,0.287356321,0.08,0.12,1,0.022727272,0,0,0.3908046,0.33333333,0.27586207,0.09195402,0.62068966,0.28735632,"Chris Valaika",1165,453362
2014,"Ryan Rua","TEX",0.34117647,2.045454545,0.229885057,0.517241379,0.252873563,0.136363636,0.09090909,3,0.066666666,0,0,0.42528736,0.34482759,0.22988506,0.20689655,0.50574713,0.28735632,"Ryan Rua",12409,607387
2019,"Nick Solak","TEX",0.353658536,1.916666666,0.195402298,0.528735632,0.275862068,0.083333333,0.208333333,7,0.152173913,0,0,0.42528736,0.35632184,0.2183908,0.12643678,0.5862069,0.28735632,"Nick Solak",19294,669256
2020,"Matt Joyce","MIA",0.352941176,1.133333333,0.264367816,0.390804597,0.344827586,0.066666666,0.066666666,6,0.176470588,0,0,0.43678161,0.37931034,0.18390805,0.17241379,0.54022989,0.28735632,"Matt Joyce",3353,459964
2022,"Brandon Belt","SFG",0.277108433,0.547619047,0.226190476,0.273809523,0.5,0.059523809,0.095238095,2,0.04347826,4,0.666666666,0.37356322,0.33908046,0.28735632,0.16091954,0.55172414,0.28735632,"Brandon Belt",10264,474832
2024,"Chas McCormick","HOU",0.273809523,1.174603174,0.189349112,0.437869822,0.372781065,0.095238095,0.079365079,6,0.081081081,2,0.4,0.36206897,0.42528736,0.21264368,0.16091954,0.55172414,0.28735632,"Chas McCormick",19599,676801
2011,"Willie Harris","NYM",0.320224719,1.171875,0.210227272,0.426136363,0.363636363,0.125,0.03125,6,0.08,2,0.4,0.51933702,0.28729282,0.19337017,0.20441989,0.50828729,0.28729282,"Willie Harris",236,407483
2015,"Brandon Guyer","TBR",0.303030303,1.279569892,0.21189591,0.442379182,0.345724907,0.17204301,0.086021505,8,0.06722689,0,0,0.44727273,0.32727273,0.22545455,0.20727273,0.50545455,0.28727273,"Brandon Guyer",2636,446386
2020,"Willi Castro","DET",0.448275862,1.344827586,0.268817204,0.419354838,0.311827956,0,0.206896551,3,0.076923076,0,0,0.39361702,0.39361702,0.21276596,0.22340426,0.4893617,0.28723404,"Willi Castro",17338,650489
2023,"Eric Haase","DET",0.267759562,1.098591549,0.203208556,0.417112299,0.379679144,0.154929577,0.056338028,5,0.064102564,0,0,0.44680851,0.32446809,0.2287234,0.21276596,0.5,0.28723404,"Eric Haase",14111,606992
2021,"Tommy La Stella","SFG",0.255319148,1.2,0.206185567,0.43298969,0.360824742,0.028571428,0.1,1,0.011904761,0,0,0.42051282,0.40512821,0.17435897,0.11794872,0.59487179,0.28717949,"Tommy La Stella",12371,600303
2011,"B.J. Upton","TBR",0.298153034,1,0.182957393,0.408521303,0.408521303,0.092024539,0.141104294,15,0.092024539,2,0.4,0.42574257,0.34405941,0.23019802,0.25,0.46287129,0.28712871,"B.J. Upton",5015,425834
2014,"Josh Reddick","OAK",0.288659793,0.653333333,0.176079734,0.325581395,0.49833887,0.12,0.08,7,0.071428571,2,1,0.39933993,0.32013201,0.28052805,0.18151815,0.53135314,0.28712871,"Josh Reddick",3892,502210
2024,"Patrick Wisdom","CHC",0.206521739,0.378787878,0.09,0.25,0.66,0.121212121,0.121212121,1,0.04,0,0,0.35643564,0.31683168,0.32673267,0.23762376,0.47524752,0.28712871,"Patrick Wisdom",13602,621550
2016,"Nomar Mazara","TEX",0.299232736,1.647540983,0.214111922,0.489051094,0.296836982,0.081967213,0.163934426,13,0.064676616,0,0,0.37226277,0.35279805,0.27493917,0.20681265,0.50608273,0.28710462,"Nomar Mazara",14553,608577
2013,"Nolan Arenado","COL",0.295566502,1.264285714,0.237980769,0.425480769,0.336538461,0.078571428,0.071428571,10,0.056497175,0,0,0.35406699,0.37559809,0.27033493,0.11961722,0.59330144,0.28708134,"Nolan Arenado",9777,571448
2009,"Andres Torres","SFG",0.346534653,0.6875,0.164948453,0.340206185,0.49484536,0.083333333,0.125,1,0.03030303,4,0.363636363,0.48148148,0.26851852,0.25,0.15740741,0.55555556,0.28703704,"Andres Torres",1488,400083
2012,"Brandon Crawford","SFG",0.30678466,1.56862745,0.227138643,0.471976401,0.300884955,0.137254901,0.039215686,9,0.05625,2,0.333333333,0.37101449,0.36521739,0.26376812,0.16231884,0.55072464,0.28695652,"Brandon Crawford",5343,543063
2013,"Jurickson Profar","TEX",0.279816513,1.179487179,0.234234234,0.414414414,0.351351351,0.102564102,0.076923076,6,0.065217391,0,0,0.39565217,0.3826087,0.22173913,0.2173913,0.49565217,0.28695652,"Jurickson Profar",10815,595777
2024,"Zach McKinstry","DET",0.265486725,0.773195876,0.248908296,0.327510917,0.423580786,0.041237113,0.041237113,3,0.04,0,0,0.39130435,0.37391304,0.23478261,0.12173913,0.59130435,0.28695652,"Zach McKinstry",19392,656716
2017,"Carlos Asuaje","SDP",0.346491228,1.134146341,0.239130434,0.404347826,0.356521739,0.158536585,0.048780487,4,0.043010752,0,0,0.4556962,0.32067511,0.22362869,0.21518987,0.4978903,0.28691983,"Carlos Asuaje",15197,641319
2007,"Jeff Mathis","LAA",0.262295081,0.927272727,0.13114754,0.418032786,0.450819672,0.254545454,0.072727272,2,0.039215686,2,0.285714285,0.39534884,0.28682171,0.31782946,0.24031008,0.47286822,0.28682171,"Jeff Mathis",3448,425772
2023,"Yuli Gurriel","MIA",0.271653543,0.954545454,0.166666666,0.406976744,0.426356589,0.154545454,0.036363636,11,0.104761904,0,0,0.39534884,0.3372093,0.26744186,0.15503876,0.55813953,0.28682171,"Yuli Gurriel",19198,493329
2016,"Melky Cabrera","CHW",0.313840155,1.233695652,0.218631178,0.431558935,0.349809885,0.097826086,0.076086956,6,0.026431718,0,0,0.38679245,0.32830189,0.28490566,0.18490566,0.52830189,0.28679245,"Melky Cabrera",4022,466320
2023,"Rodolfo Castro","PIT",0.3,1.659090909,0.139705882,0.536764705,0.323529411,0.09090909,0.136363636,10,0.136986301,0,0,0.51470588,0.30147059,0.18382353,0.20588235,0.50735294,0.28676471,"Rodolfo Castro",21987,666801
2023,"Yasmani Grandal","CHW",0.284132841,1.235294117,0.182795698,0.451612903,0.365591397,0.049019607,0.078431372,5,0.039682539,0,0,0.40143369,0.35125448,0.24731183,0.16129032,0.55197133,0.28673835,"Yasmani Grandal",11368,518735
2009,"Bill Hall","MIL",0.270072992,0.918032786,0.181818181,0.391608391,0.426573426,0.13114754,0.098360655,1,0.017857142,0,0,0.42657343,0.35664336,0.21678322,0.18181818,0.53146853,0.28671329,"Bill Hall",1605,407849
2017,"Jake Marisnick","HOU",0.32,0.769230769,0.154411764,0.367647058,0.477941176,0.092307692,0.246153846,4,0.08,4,0.571428571,0.3986014,0.3006993,0.3006993,0.18181818,0.53146853,0.28671329,"Jake Marisnick",11339,545350
2011,"Kyle Seager","SEA",0.303448275,0.725806451,0.277027027,0.304054054,0.418918918,0.096774193,0.048387096,2,0.044444444,0,0,0.28,0.4,0.32,0.13333333,0.58,0.28666667,"Kyle Seager",9785,572122
2012,"Freddy Galvis","PHI",0.253164556,1.087719298,0.211920529,0.410596026,0.377483443,0.070175438,0.052631578,2,0.032258064,3,0.23076923,0.44512195,0.35365854,0.20121951,0.12195122,0.59146341,0.28658537,"Freddy Galvis",6609,520471
2007,"Josh Bard","SDP",0.322188449,1.73,0.18263473,0.517964071,0.299401197,0.02,0.05,6,0.03468208,0,0,0.39701493,0.31641791,0.28656716,0.15820896,0.55522388,0.28656716,"Josh Bard",1578,408036
2011,"Carlos Quentin","CHW",0.261006289,0.601092896,0.143274853,0.321637426,0.535087719,0.169398907,0.13114754,7,0.063636363,0,0,0.46783626,0.3128655,0.21929825,0.24561404,0.46783626,0.28654971,"Carlos Quentin",6274,435041
2022,"Jesse Winker","SEA",0.251461988,0.958333333,0.205633802,0.388732394,0.405633802,0.173611111,0.097222222,6,0.04347826,0,0,0.38483146,0.35674157,0.25842697,0.20505618,0.50842697,0.28651685,"Jesse Winker",13590,608385
2014,"Scooter Gennett","MIL",0.320652173,1.22047244,0.25,0.412234042,0.337765957,0.078740157,0.070866141,11,0.070967741,1,0.125,0.3203125,0.36197917,0.31770833,0.1796875,0.53385417,0.28645833,"Scooter Gennett",10339,571697
2021,"Dylan Carlson","STL",0.331578947,1.006756756,0.246192893,0.378172588,0.375634517,0.054054054,0.121621621,7,0.046979865,2,0.5,0.40954774,0.29899497,0.29145729,0.1281407,0.58542714,0.28643216,"Dylan Carlson",20126,666185
2010,"Carlos Guillen","DET",0.304347826,1.376623376,0.14084507,0.497652582,0.361502347,0.064935064,0.077922077,6,0.056603773,0,0,0.38028169,0.36619718,0.25352113,0.18309859,0.53051643,0.28638498,"Carlos Guillen",1079,136722
2012,"Kurt Suzuki","OAK",0.266666666,0.89010989,0.177033492,0.387559808,0.435406698,0.131868131,0.01098901,5,0.061728395,1,0.25,0.41784038,0.38028169,0.20187793,0.14084507,0.57276995,0.28638498,"Kurt Suzuki",8259,435559
2016,"Dioner Navarro","CHW",0.248780487,0.829545454,0.225961538,0.350961538,0.423076923,0.125,0.068181818,3,0.04109589,0,0,0.4084507,0.33802817,0.25352113,0.1971831,0.51643192,0.28638498,"Dioner Navarro",3179,425900
